utterance_id,rel_path,speaker_id,dialect_group,duration_sec,score,transcript
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0005,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0005.wav,librispeech_295,standard,9.08,-0.4,когда дошло дело до чистописания я от слез падавших на бумагу наделал таких клякс как будто писал водой на оберточной бумаге
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0019,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0019.wav,librispeech_295,standard,6.75,-0.04,а теперь прибавил он иронически улыбаясь теперь дети большие стали им надо серьезно учиться
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0020,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0020.wav,librispeech_295,standard,2.59,-0.2,точно они здесь не учатся николай
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0022,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0022.wav,librispeech_295,standard,7.1,-0.36,да теперь я не нужен стал меня и надо прогнать а где обещания где благодарность
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0023,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0023.wav,librispeech_295,standard,8.21,-0.23,наталью николаевну я уважаю и люблю николай сказал он прикладывая руку к груди да что она
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0030,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0030.wav,librispeech_295,standard,7.68,-0.46,я сочувствовал его горю и мне больно было что отец и карл иваныч которых я почти одинаково любил не поняли друг друга
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0037,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0037.wav,librispeech_295,standard,8.55,-0.29,несколько раз с различными интонациями и с выражением величайшего удовольствия прочел он это изречение выражавшее его задушевную мысль
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0039,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0039.wav,librispeech_295,standard,2.26,-0.26,лицо его не было угрюмо как прежде
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0041,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0041.wav,librispeech_295,standard,7.62,-0.4,но карл иваныч казалось и не думал о том чтобы отпустить нас он то и дело задавал новые уроки
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0043,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-04-Klassy_0043.wav,librispeech_295,standard,5.6,-0.14,я с сильным нетерпением следил за всеми признаками доказывавшими близость обеда
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0001,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0001.wav,librispeech_295,standard,7.62,-0.18,он был такого большого роста что для того чтобы пройти в дверь ему не только нужно было нагнуть голову но и согнуться всем телом
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0002,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0002.wav,librispeech_295,standard,6.02,-0.39,на нем было надето что то изорванное похожее на кафтан и на подрясник
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0003,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0003.wav,librispeech_295,standard,2.06,-0.04,в руке он держал огромный посох
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0011,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0011.wav,librispeech_295,standard,5.99,-0.06,наконец явился давно желанный пунктуальный фока и мы пошли вниз
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0017,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0017.wav,librispeech_295,standard,6.14,-0.42,но вскочить с своих мест и подойти к нам было бы нарушением правил мими
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0028,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0028.wav,librispeech_295,standard,6.24,-0.22,присутствие слова и поступки гриши заметно усиливали в ней это расположение
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0042,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0042.wav,librispeech_295,standard,4.18,-0.29,я тебя просила передать мне пирожок повторила она протягивая руку
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0043,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0043.wav,librispeech_295,standard,5.3,-0.46,и прекрасно делают продолжал папа отодвигая руку что таких людей сажают в полицию
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0048,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0048.wav,librispeech_295,standard,1.68,-0.11,ах что ты со мной сделала
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0050,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0050.wav,librispeech_295,standard,5.69,-0.4,когда он это делал я всегда слушал с напряженным вниманием ожидая чего нибудь смешного
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0051,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0051.wav,librispeech_295,standard,2.78,-0.1,зачем ты мне напомнила об его ногах
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0052,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-05-Yourodivy_0052.wav,librispeech_295,standard,5.33,-0.42,я посмотрел и теперь ничего есть не буду обед клонился к концу
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0006,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0006.wav,librispeech_295,standard,4.6,-0.27,о том же что мы расстаемся ни слова не было сказано
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0012,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0012.wav,librispeech_295,standard,4.53,-0.22,белые причудливых форм тучки с утра показались на горизонте
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0015,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0015.wav,librispeech_295,standard,6.79,-0.24,к вечеру они опять стали расходиться одни побледнели подлиннели и бежали на горизонт
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0016,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0016.wav,librispeech_295,standard,4.27,-0.07,другие над самой головой превратились в белую прозрачную чешую
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0017,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0017.wav,librispeech_295,standard,4.04,-0.07,одна только черная большая туча остановилась на востоке
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0023,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0023.wav,librispeech_295,standard,5.13,-0.2,и когда кучер отвечал утвердительно она махнула рукой и отвернулась
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0025,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0025.wav,librispeech_295,standard,4.21,-0.07,собак не извольте раздавить сказал мне какой то охотник
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0026,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0026.wav,librispeech_295,standard,3.3,-0.19,будь покоен мне не в первый раз отвечал я гордо
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0028,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0028.wav,librispeech_295,standard,3.92,-0.38,на лошади же он был очень хорош точно большой
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0030,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0030.wav,librispeech_295,standard,3.36,-0.39,вот послышались шаги папа на лестнице
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0031,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0031.wav,librispeech_295,standard,4.24,-0.3,выжлятник подогнал отрыскавших гончих
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0032,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0032.wav,librispeech_295,standard,5.55,-0.37,охотники с борзыми подозвали своих и стали садиться
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0034,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-06-Prigotovleniya_k_okhote_0034.wav,librispeech_295,standard,7.26,-0.42,собаки своры папа которые прежде лежали в разных живописных позах около нее бросились к нему
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0005,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0005.wav,librispeech_295,standard,2.52,-0.16,хлебная уборка была во всем разгаре
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0012,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0012.wav,librispeech_295,standard,11.06,-0.46,две борзые собаки напряженно загнув хвост серпом и высоко поднимая ноги грациозно перепрыгивали по высокому жнивью за ногами лошади
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0013,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0013.wav,librispeech_295,standard,4.34,-0.21,милка бежала впереди и загнув голову ожидала прикормки
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0021,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0021.wav,librispeech_295,standard,2.14,-0.04,я вынул из кармана и показал ему
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0033,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0033.wav,librispeech_295,standard,4.06,-0.33,к нему присоединился другой басистый голос потом третий четвертый
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0040,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0040.wav,librispeech_295,standard,3.84,-0.24,мне казалось что не может быть решительнее этой минуты
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0041,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0041.wav,librispeech_295,standard,5.58,-0.16,положение этой напряженности было слишком неестественно чтобы продолжаться долго
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0049,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0049.wav,librispeech_295,standard,7.79,-0.49,от этих интересных наблюдений я был отвлечен бабочкой с желтыми крылышками которая чрезвычайно заманчиво вилась передо мною
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0053,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-07-Okhota_0053.wav,librispeech_295,standard,4.1,-0.1,я положил голову на обе руки и с удовольствием смотрел на нее
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0001,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0001.wav,librispeech_295,standard,10.2,-0.33,буфетчик гаврило примяв около себя зеленую сочную траву перетирал тарелки и доставал из коробочки завернутые в листья сливы и персики
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0007,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0007.wav,librispeech_295,standard,4.04,-0.48,ежели непременно хотите так давайте лучше беседочку строить
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0013,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0013.wav,librispeech_295,standard,4.05,-0.42,говорила катенька стараясь за рукав курточки приподнять его с земли
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0014,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0014.wav,librispeech_295,standard,2.03,-0.04,право не хочется скучно
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0015,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0015.wav,librispeech_295,standard,3.89,-0.34,сказал володя потягиваясь и вместе с тем самодовольно улыбаясь
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0016,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0016.wav,librispeech_295,standard,7.37,-0.37,так лучше бы дома сидеть коли никто не хочет играть сквозь слезы выговорила любочка она была страшная плакса
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0017,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0017.wav,librispeech_295,standard,3.62,-0.06,ну пойдемте только не плачь пожалуйста терпеть не могу
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0019,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0019.wav,librispeech_295,standard,4.46,-0.45,напротив его ленивый и скучный вид разрушал все очарование игры
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0021,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0021.wav,librispeech_295,standard,10.69,-0.37,но он отвечал что оттого что мы будем больше или меньше махать руками мы ничего не выиграем и не проиграем и все же далеко не уедем я невольно согласился с ним
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0024,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0024.wav,librispeech_295,standard,5.95,-0.46,я сам знаю что из палки не только что убить птицу да и выстрелить никак нельзя это игра
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0027,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0027.wav,librispeech_295,standard,2.88,-0.08,и какие разные приключения случались в этой дороге
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0028,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0028.wav,librispeech_295,standard,2.86,-0.44,и как весело и скоро проходили зимние вечера
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0029,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-08-Yigry_0029.wav,librispeech_295,standard,3.49,-0.32,ежели судить по настоящему то игры никакой не будет
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-09-Chtoto-vrode-pervoi-liubvi_0001,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-09-Chtoto-vrode-pervoi-liubvi_0001.wav,librispeech_295,standard,5.0,-0.05,мы все головами вместе припали к земле смотреть эту редкость
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-09-Chtoto-vrode-pervoi-liubvi_0002,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-09-Chtoto-vrode-pervoi-liubvi_0002.wav,librispeech_295,standard,7.59,-0.48,я смотрел через плечо катеньки которая старалась поднять червяка на листочке подставляя ему его на дороге
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-09-Chtoto-vrode-pervoi-liubvi_0005,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-09-Chtoto-vrode-pervoi-liubvi_0005.wav,librispeech_295,standard,8.78,-0.48,нагнувшись над червяком катенька сделала это самое движение и в то же время ветер поднял косыночку с ее беленькой шейки
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-09-Chtoto-vrode-pervoi-liubvi_0006,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-09-Chtoto-vrode-pervoi-liubvi_0006.wav,librispeech_295,standard,4.19,-0.38,плечико во время этого движения было на два пальца от моих губ
librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-09-Chtoto-vrode-pervoi-liubvi_0014,librispeech_295/librispeech_295_Leo-Tolstoy-Detstvo-RUSSIAN-09-Chtoto-vrode-pervoi-liubvi_0014.wav,librispeech_295,standard,2.21,-0.41,мы поехали назад вместе с линейкой
